brand,model,screen_size (inches),color,harddisk (in GB),cpu,ram (GB),OS,special_features,graphics,graphics_coprocessor,cpu_speed (GHz),rating,price
ASUS,VivoBook Pro 16,16.00,Quiet Blue,1000.00,Core i9,16.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4060,,4.00,1484.99
Dell,Latitude 5000,14.00,Black,512.00,Core i5,16.00,Windows 11 Pro,"Anti-glare Screen, Water Resistant",Iris Xe Graphics,,,4.80,1666.40
ASUS,FX707ZC-ES53,17.30,Mecha Gray,,Core i5,16.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3050,4.50,3.50,873.00
HP,HP 15,15.60,Silver,256.00,Core i5,12.00,Windows 11 S,"Touchscreen Laptop, Windows Laptop, i5 Laptop",Integrated,,,4.40,503.58
ROKC,,15.60,Blue,1152.00,Pentium,20.00,Windows 11,,Integrated,Intel,1.10,5.00,389.99
HP,,15.60,Black,1000.00,Pentium N5000,16.00,Windows 11,,Integrated,Intel,1.10,4.40,459.99
ROKC,Ideapad 3,15.60,Gray,1000.00,Intel Core i5,20.00,Windows 11,,Integrated,Intel,,,639.99
Microsoft,Surface Laptop Go 2,12.45,Platinum,256.00,Intel Core i5,8.00,Windows 11 Home,Fingerprint Reader,Integrated,,,4.40,529.00
HP,,14.00,Rose Gold,64.00,Celeron N,8.00,Windows 11,Anti Glare Coating,,Intel HD Graphics 600,1.10,4.10,299.00
Lenovo,"Lenovo 14"" Laptop",14.00,Blue,512.00,Intel Core i7,16.00,Windows 11,"Backlit Keyboard,Fingerprint Reader",Integrated,,,3.70,535.99
Lenovo,L14,14.00,Platinum Grey,128.00,Pentium,4.00,Windows 11 S,,Integrated,Intel UHD Graphics 605,,4.00,191.87
MSI,GF63 Thin,15.60,Black,256.00,Unknown,8.00,Windows 10,Anti Glare Coating,Dedicated,,,4.60,600.51
Apple,MacBook Pro,16.00,Space Gray,1000.00,Others,32.00,Mac OS,Backlit Keyboard,Dedicated,,,3.00,3059.00
SAMSUNG,NP964XFG-KC1US,16.00,Graphite,,Intel Core i7,32.00,Windows 11 Pro,,Integrated,,2.20,4.00,1939.99
ASUS,ASUS Chromebook CX1,15.60,Silver,64.00,Celeron N3350,8.00,Chrome OS,,Integrated,,2.40,4.10,247.05
MSI,Stealth GS66 12UGS-025,15.60,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.80,1.00,1699.00
DELL,Inspiron,16.00,Silver,1000.00,Intel Core i5,32.00,Windows 11,,Integrated,Intel,,,899.99
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
